;SIN_YEAR;SIN_WEEK;FIRST_DAY;CASES;IMPORTED
0;2001;1;2001-01-07;0;0
1;2001;2;2001-01-14;0;0
2;2001;3;2001-01-21;0;0
3;2001;4;2001-01-28;0;0
4;2001;5;2001-02-04;0;0
5;2001;6;2001-02-11;0;0
6;2001;7;2001-02-18;0;0
7;2001;8;2001-02-25;1;0
8;2001;9;2001-03-04;2;1
9;2001;10;2001-03-11;0;0
10;2001;11;2001-03-18;0;0
11;2001;12;2001-03-25;1;0
12;2001;13;2001-04-01;0;0
13;2001;14;2001-04-08;0;0
14;2001;15;2001-04-15;0;0
15;2001;16;2001-04-22;1;0
16;2001;17;2001-04-29;1;0
17;2001;18;2001-05-06;1;0
18;2001;19;2001-05-13;0;0
19;2001;20;2001-05-20;0;0
20;2001;21;2001-05-27;0;0
21;2001;22;2001-06-03;0;0
22;2001;23;2001-06-10;0;0
23;2001;24;2001-06-17;0;0
24;2001;25;2001-06-24;0;0
25;2001;26;2001-07-01;0;0
26;2001;27;2001-07-08;0;0
27;2001;28;2001-07-15;0;0
28;2001;29;2001-07-22;0;0
29;2001;30;2001-07-29;0;0
30;2001;31;2001-08-05;0;0
31;2001;32;2001-08-12;0;0
32;2001;33;2001-08-19;0;0
33;2001;34;2001-08-26;0;0
34;2001;35;2001-09-02;0;0
35;2001;36;2001-09-09;1;0
36;2001;37;2001-09-16;0;0
37;2001;38;2001-09-23;0;0
38;2001;39;2001-09-30;0;0
39;2001;40;2001-10-07;0;0
40;2001;41;2001-10-14;0;0
41;2001;42;2001-10-21;0;0
42;2001;43;2001-10-28;0;0
43;2001;44;2001-11-04;0;0
44;2001;45;2001-11-11;0;0
45;2001;46;2001-11-18;0;0
46;2001;47;2001-11-25;0;0
47;2001;48;2001-12-02;0;0
48;2001;49;2001-12-09;0;0
49;2001;50;2001-12-16;0;0
50;2001;51;2001-12-23;0;0
51;2001;52;2001-12-30;0;0
52;2002;1;2002-01-06;0;0
53;2002;2;2002-01-13;0;0
54;2002;3;2002-01-20;0;0
55;2002;4;2002-01-27;0;0
56;2002;5;2002-02-03;0;0
57;2002;6;2002-02-10;0;0
58;2002;7;2002-02-17;0;0
59;2002;8;2002-02-24;0;0
60;2002;9;2002-03-03;0;0
61;2002;10;2002-03-10;0;0
62;2002;11;2002-03-17;0;0
63;2002;12;2002-03-24;0;0
64;2002;13;2002-03-31;0;0
65;2002;14;2002-04-07;1;0
66;2002;15;2002-04-14;0;0
67;2002;16;2002-04-21;0;0
68;2002;17;2002-04-28;0;0
69;2002;18;2002-05-05;0;0
70;2002;19;2002-05-12;1;0
71;2002;20;2002-05-19;0;0
72;2002;21;2002-05-26;0;0
73;2002;22;2002-06-02;0;0
74;2002;23;2002-06-09;0;0
75;2002;24;2002-06-16;0;0
76;2002;25;2002-06-23;0;0
77;2002;26;2002-06-30;0;0
78;2002;27;2002-07-07;0;0
79;2002;28;2002-07-14;0;0
80;2002;29;2002-07-21;0;0
81;2002;30;2002-07-28;0;0
82;2002;31;2002-08-04;0;0
83;2002;32;2002-08-11;0;0
84;2002;33;2002-08-18;0;0
85;2002;34;2002-08-25;0;0
86;2002;35;2002-09-01;0;0
87;2002;36;2002-09-08;0;0
88;2002;37;2002-09-15;0;0
89;2002;38;2002-09-22;0;0
90;2002;39;2002-09-29;0;0
91;2002;40;2002-10-06;0;0
92;2002;41;2002-10-13;0;0
93;2002;42;2002-10-20;0;0
94;2002;43;2002-10-27;0;0
95;2002;44;2002-11-03;0;0
96;2002;45;2002-11-10;1;0
97;2002;46;2002-11-17;0;0
98;2002;47;2002-11-24;0;0
99;2002;48;2002-12-01;0;0
100;2002;49;2002-12-08;0;0
101;2002;50;2002-12-15;0;0
102;2002;51;2002-12-22;0;0
103;2002;52;2002-12-29;0;0
104;2003;1;2003-01-05;0;0
105;2003;2;2003-01-12;0;0
106;2003;3;2003-01-19;0;0
107;2003;4;2003-01-26;0;0
108;2003;5;2003-02-02;0;0
109;2003;6;2003-02-09;0;0
110;2003;7;2003-02-16;0;0
111;2003;8;2003-02-23;0;0
112;2003;9;2003-03-02;0;0
113;2003;10;2003-03-09;0;0
114;2003;11;2003-03-16;0;0
115;2003;12;2003-03-23;0;0
116;2003;13;2003-03-30;0;0
117;2003;14;2003-04-06;0;0
118;2003;15;2003-04-13;0;0
119;2003;16;2003-04-20;0;0
120;2003;17;2003-04-27;1;0
121;2003;18;2003-05-04;0;0
122;2003;19;2003-05-11;0;0
123;2003;20;2003-05-18;1;0
124;2003;21;2003-05-25;0;0
125;2003;22;2003-06-01;0;0
126;2003;23;2003-06-08;0;0
127;2003;24;2003-06-15;0;0
128;2003;25;2003-06-22;1;0
129;2003;26;2003-06-29;0;0
130;2003;27;2003-07-06;0;0
131;2003;28;2003-07-13;0;0
132;2003;29;2003-07-20;0;0
133;2003;30;2003-07-27;1;0
134;2003;31;2003-08-03;0;0
135;2003;32;2003-08-10;0;0
136;2003;33;2003-08-17;0;0
137;2003;34;2003-08-24;0;0
138;2003;35;2003-08-31;0;0
139;2003;36;2003-09-07;0;0
140;2003;37;2003-09-14;0;0
141;2003;38;2003-09-21;1;0
142;2003;39;2003-09-28;0;0
143;2003;40;2003-10-05;0;0
144;2003;41;2003-10-12;0;0
145;2003;42;2003-10-19;0;0
146;2003;43;2003-10-26;0;0
147;2003;44;2003-11-02;0;0
148;2003;45;2003-11-09;0;0
149;2003;46;2003-11-16;0;0
150;2003;47;2003-11-23;0;0
151;2003;48;2003-11-30;0;0
152;2003;49;2003-12-07;0;0
153;2003;50;2003-12-14;0;0
154;2003;51;2003-12-21;1;0
155;2003;52;2003-12-28;0;0
156;2004;1;2004-01-04;0;0
157;2004;2;2004-01-11;0;0
158;2004;3;2004-01-18;0;0
159;2004;4;2004-01-25;0;0
160;2004;5;2004-02-01;0;0
161;2004;6;2004-02-08;0;0
162;2004;7;2004-02-15;0;0
163;2004;8;2004-02-22;0;0
164;2004;9;2004-02-29;0;0
165;2004;10;2004-03-07;0;0
166;2004;11;2004-03-14;0;0
167;2004;12;2004-03-21;0;0
168;2004;13;2004-03-28;0;0
169;2004;14;2004-04-04;0;0
170;2004;15;2004-04-11;0;0
171;2004;16;2004-04-18;0;0
172;2004;17;2004-04-25;0;0
173;2004;18;2004-05-02;1;0
174;2004;19;2004-05-09;0;0
175;2004;20;2004-05-16;0;0
176;2004;21;2004-05-23;0;0
177;2004;22;2004-05-30;0;0
178;2004;23;2004-06-06;0;0
179;2004;24;2004-06-13;0;0
180;2004;25;2004-06-20;1;0
181;2004;26;2004-06-27;0;0
182;2004;27;2004-07-04;0;0
183;2004;28;2004-07-11;1;0
184;2004;29;2004-07-18;0;0
185;2004;30;2004-07-25;0;0
186;2004;31;2004-08-01;1;0
187;2004;32;2004-08-08;0;0
188;2004;33;2004-08-15;0;0
189;2004;34;2004-08-22;0;0
190;2004;35;2004-08-29;0;0
191;2004;36;2004-09-05;0;0
192;2004;37;2004-09-12;0;0
193;2004;38;2004-09-19;0;0
194;2004;39;2004-09-26;0;0
195;2004;40;2004-10-03;1;0
196;2004;41;2004-10-10;0;0
197;2004;42;2004-10-17;0;0
198;2004;43;2004-10-24;0;0
199;2004;44;2004-10-31;0;0
200;2004;45;2004-11-07;0;0
201;2004;46;2004-11-14;0;0
202;2004;47;2004-11-21;0;0
203;2004;48;2004-11-28;0;0
204;2004;49;2004-12-05;0;0
205;2004;50;2004-12-12;0;0
206;2004;51;2004-12-19;0;0
207;2004;52;2004-12-26;0;0
208;2005;1;2005-01-02;0;0
209;2005;2;2005-01-09;0;0
210;2005;3;2005-01-16;0;0
211;2005;4;2005-01-23;0;0
212;2005;5;2005-01-30;0;0
213;2005;6;2005-02-06;0;0
214;2005;7;2005-02-13;0;0
215;2005;8;2005-02-20;0;0
216;2005;9;2005-02-27;1;0
217;2005;10;2005-03-06;0;0
218;2005;11;2005-03-13;1;0
219;2005;12;2005-03-20;0;0
220;2005;13;2005-03-27;0;0
221;2005;14;2005-04-03;0;0
222;2005;15;2005-04-10;0;0
223;2005;16;2005-04-17;0;0
224;2005;17;2005-04-24;0;0
225;2005;18;2005-05-01;0;0
226;2005;19;2005-05-08;0;0
227;2005;20;2005-05-15;0;0
228;2005;21;2005-05-22;0;0
229;2005;22;2005-05-29;0;0
230;2005;23;2005-06-05;0;0
231;2005;24;2005-06-12;0;0
232;2005;25;2005-06-19;0;0
233;2005;26;2005-06-26;0;0
234;2005;27;2005-07-03;1;0
235;2005;28;2005-07-10;0;0
236;2005;29;2005-07-17;0;0
237;2005;30;2005-07-24;0;0
238;2005;31;2005-07-31;0;0
239;2005;32;2005-08-07;0;0
240;2005;33;2005-08-14;0;0
241;2005;34;2005-08-21;0;0
242;2005;35;2005-08-28;0;0
243;2005;36;2005-09-04;0;0
244;2005;37;2005-09-11;0;0
245;2005;38;2005-09-18;0;0
246;2005;39;2005-09-25;1;0
247;2005;40;2005-10-02;0;0
248;2005;41;2005-10-09;0;0
249;2005;42;2005-10-16;0;0
250;2005;43;2005-10-23;0;0
251;2005;44;2005-10-30;0;0
252;2005;45;2005-11-06;0;0
253;2005;46;2005-11-13;0;0
254;2005;47;2005-11-20;0;0
255;2005;48;2005-11-27;0;0
256;2005;49;2005-12-04;0;0
257;2005;50;2005-12-11;0;0
258;2005;51;2005-12-18;0;0
259;2005;52;2005-12-25;0;0
260;2006;1;2006-01-01;0;0
261;2006;2;2006-01-08;0;0
262;2006;3;2006-01-15;0;0
263;2006;4;2006-01-22;0;0
264;2006;5;2006-01-29;0;0
265;2006;6;2006-02-05;0;0
266;2006;7;2006-02-12;0;0
267;2006;8;2006-02-19;0;0
268;2006;9;2006-02-26;1;0
269;2006;10;2006-03-05;0;0
270;2006;11;2006-03-12;0;0
271;2006;12;2006-03-19;0;0
272;2006;13;2006-03-26;1;0
273;2006;14;2006-04-02;0;0
274;2006;15;2006-04-09;0;0
275;2006;16;2006-04-16;1;0
276;2006;17;2006-04-23;0;0
277;2006;18;2006-04-30;0;0
278;2006;19;2006-05-07;0;0
279;2006;20;2006-05-14;1;0
280;2006;21;2006-05-21;0;0
281;2006;22;2006-05-28;2;0
282;2006;23;2006-06-04;1;0
283;2006;24;2006-06-11;0;0
284;2006;25;2006-06-18;0;0
285;2006;26;2006-06-25;0;0
286;2006;27;2006-07-02;0;0
287;2006;28;2006-07-09;0;0
288;2006;29;2006-07-16;1;0
289;2006;30;2006-07-23;0;0
290;2006;31;2006-07-30;0;0
291;2006;32;2006-08-06;0;0
292;2006;33;2006-08-13;0;0
293;2006;34;2006-08-20;0;0
294;2006;35;2006-08-27;0;0
295;2006;36;2006-09-03;0;0
296;2006;37;2006-09-10;0;0
297;2006;38;2006-09-17;0;0
298;2006;39;2006-09-24;0;0
299;2006;40;2006-10-01;0;0
300;2006;41;2006-10-08;1;0
301;2006;42;2006-10-15;0;0
302;2006;43;2006-10-22;0;0
303;2006;44;2006-10-29;0;0
304;2006;45;2006-11-05;0;0
305;2006;46;2006-11-12;1;0
306;2006;47;2006-11-19;0;0
307;2006;48;2006-11-26;0;0
308;2006;49;2006-12-03;0;0
309;2006;50;2006-12-10;0;0
310;2006;51;2006-12-17;0;0
311;2006;52;2006-12-24;0;0
312;2007;1;2007-01-07;0;0
313;2007;2;2007-01-14;27;1
314;2007;3;2007-01-21;44;0
315;2007;4;2007-01-28;63;0
316;2007;5;2007-02-04;93;2
317;2007;6;2007-02-11;135;1
318;2007;7;2007-02-18;154;0
319;2007;8;2007-02-25;149;0
320;2007;9;2007-03-04;150;0
321;2007;10;2007-03-11;202;3
322;2007;11;2007-03-18;231;2
323;2007;12;2007-03-25;294;5
324;2007;13;2007-04-01;319;1
325;2007;14;2007-04-08;268;0
326;2007;15;2007-04-15;232;2
327;2007;16;2007-04-22;275;0
328;2007;17;2007-04-29;223;0
329;2007;18;2007-05-06;173;0
330;2007;19;2007-05-13;310;1
331;2007;20;2007-05-20;340;4
332;2007;21;2007-05-27;227;0
333;2007;22;2007-06-03;256;0
334;2007;23;2007-06-10;153;0
335;2007;24;2007-06-17;157;0
336;2007;25;2007-06-24;215;1
337;2007;26;2007-07-01;156;1
338;2007;27;2007-07-08;120;0
339;2007;28;2007-07-15;64;0
340;2007;29;2007-07-22;78;1
341;2007;30;2007-07-29;80;1
342;2007;31;2007-08-05;88;1
343;2007;32;2007-08-12;64;0
344;2007;33;2007-08-19;73;0
345;2007;34;2007-08-26;48;0
346;2007;35;2007-09-02;38;0
347;2007;36;2007-09-09;59;0
348;2007;37;2007-09-16;25;1
349;2007;38;2007-09-23;39;3
350;2007;39;2007-09-30;42;1
351;2007;40;2007-10-07;28;0
352;2007;41;2007-10-14;18;0
353;2007;42;2007-10-21;25;0
354;2007;43;2007-10-28;35;0
355;2007;44;2007-11-04;37;0
356;2007;45;2007-11-11;50;1
357;2007;46;2007-11-18;70;2
358;2007;47;2007-11-25;80;1
359;2007;48;2007-12-02;127;1
360;2007;49;2007-12-09;114;1
361;2007;50;2007-12-16;122;0
362;2007;51;2007-12-23;191;1
363;2007;52;2007-12-30;207;0
364;2008;1;2008-01-06;0;0
365;2008;2;2008-01-13;4;0
366;2008;3;2008-01-20;743;9
367;2008;4;2008-01-27;946;11
368;2008;5;2008-02-03;961;9
369;2008;6;2008-02-10;671;12
370;2008;7;2008-02-17;829;14
371;2008;8;2008-02-24;1084;24
372;2008;9;2008-03-02;1409;25
373;2008;10;2008-03-09;1713;48
374;2008;11;2008-03-16;2352;53
375;2008;12;2008-03-23;2767;56
376;2008;13;2008-03-30;2537;53
377;2008;14;2008-04-06;3988;83
378;2008;15;2008-04-13;3428;24
379;2008;16;2008-04-20;2543;26
380;2008;17;2008-04-27;1925;22
381;2008;18;2008-05-04;1387;8
382;2008;19;2008-05-11;891;4
383;2008;20;2008-05-18;636;7
384;2008;21;2008-05-25;404;5
385;2008;22;2008-06-01;257;3
386;2008;23;2008-06-08;204;1
387;2008;24;2008-06-15;80;3
388;2008;25;2008-06-22;111;0
389;2008;26;2008-06-29;68;1
390;2008;27;2008-07-06;36;1
391;2008;28;2008-07-13;35;0
392;2008;29;2008-07-20;24;0
393;2008;30;2008-07-27;35;0
394;2008;31;2008-08-03;69;0
395;2008;32;2008-08-10;12;0
396;2008;33;2008-08-17;27;1
397;2008;34;2008-08-24;12;0
398;2008;35;2008-08-31;15;1
399;2008;36;2008-09-07;6;0
400;2008;37;2008-09-14;11;0
401;2008;38;2008-09-21;18;0
402;2008;39;2008-09-28;5;0
403;2008;40;2008-10-05;15;1
404;2008;41;2008-10-12;8;0
405;2008;42;2008-10-19;8;0
406;2008;43;2008-10-26;23;0
407;2008;44;2008-11-02;18;0
408;2008;45;2008-11-09;13;0
409;2008;46;2008-11-16;25;0
410;2008;47;2008-11-23;29;0
411;2008;48;2008-11-30;45;1
412;2008;49;2008-12-07;35;1
413;2008;50;2008-12-14;54;4
414;2008;51;2008-12-21;32;0
415;2008;52;2008-12-28;29;3
416;2009;1;2009-01-04;0;0
417;2009;2;2009-01-11;23;2
418;2009;3;2009-01-18;44;2
419;2009;4;2009-01-25;34;0
420;2009;5;2009-02-01;43;0
421;2009;6;2009-02-08;73;2
422;2009;7;2009-02-15;66;1
423;2009;8;2009-02-22;32;0
424;2009;9;2009-03-01;19;1
425;2009;10;2009-03-08;32;0
426;2009;11;2009-03-15;26;0
427;2009;12;2009-03-22;36;0
428;2009;13;2009-03-29;26;0
429;2009;14;2009-04-05;13;0
430;2009;15;2009-04-12;15;1
431;2009;16;2009-04-19;10;0
432;2009;17;2009-04-26;9;0
433;2009;18;2009-05-03;5;0
434;2009;19;2009-05-10;7;0
435;2009;20;2009-05-17;10;1
436;2009;21;2009-05-24;6;1
437;2009;22;2009-05-31;7;0
438;2009;23;2009-06-07;8;0
439;2009;24;2009-06-14;21;0
440;2009;25;2009-06-21;11;1
441;2009;26;2009-06-28;1;0
442;2009;27;2009-07-05;8;0
443;2009;28;2009-07-12;9;1
444;2009;29;2009-07-19;4;0
445;2009;30;2009-07-26;2;0
446;2009;31;2009-08-02;2;0
447;2009;32;2009-08-09;2;0
448;2009;33;2009-08-16;1;0
449;2009;34;2009-08-23;3;1
450;2009;35;2009-08-30;1;0
451;2009;36;2009-09-06;4;1
452;2009;37;2009-09-13;1;0
453;2009;38;2009-09-20;0;0
454;2009;39;2009-09-27;2;0
455;2009;40;2009-10-04;1;0
456;2009;41;2009-10-11;2;0
457;2009;42;2009-10-18;3;2
