,WEEK_PRI,YEAR_PRI,1,2,3,4,NONE,TOTAL,OCURENCE_1,OCURENCE_2,OCURENCE_3,OCURENCE_4
886,1,2000,0.0,0.0,0.0,0.0,17.0,17.0,0,0,0,0
887,1,2001,0.0,0.0,0.0,0.0,18.0,18.0,0,0,0,0
888,1,2002,0.0,0.0,0.0,0.0,1036.0,1036.0,0,0,0,0
889,1,2003,0.0,0.0,0.0,0.0,17.0,17.0,0,0,0,0
890,1,2004,0.0,0.0,0.0,0.0,15.0,15.0,0,0,0,0
891,1,2005,0.0,0.0,0.0,0.0,7.0,7.0,0,0,0,0
892,1,2006,0.0,0.0,0.0,0.0,28.0,28.0,0,0,0,0
0,1,2007,0.0,0.0,1.0,0.0,28.0,29.0,0,0,1,0
1,1,2008,0.0,1.0,0.0,0.0,550.0,551.0,0,1,0,0
2,1,2009,0.0,0.0,0.0,0.0,23.0,23.0,0,0,0,0
3,1,2010,0.0,0.0,0.0,0.0,11.0,11.0,0,0,0,0
4,1,2011,1.0,0.0,0.0,0.0,224.0,225.0,1,0,0,0
5,1,2012,1.0,0.0,0.0,1.0,418.0,420.0,1,0,0,1
6,1,2013,0.0,0.0,0.0,0.0,147.0,147.0,0,0,0,0
7,1,2014,0.0,0.0,0.0,0.0,26.0,26.0,0,0,0,0
8,1,2015,2.0,0.0,0.0,0.0,12.0,14.0,1,0,0,0
9,1,2016,0.0,0.0,0.0,0.0,85.0,85.0,0,0,0,0
10,1,2017,0.0,0.0,0.0,7.0,136.0,143.0,0,0,0,1
11,1,2018,0.0,0.0,0.0,0.0,62.0,62.0,0,0,0,0
12,1,2019,0.0,0.0,0.0,0.0,147.0,147.0,0,0,0,0
13,1,2020,0.0,0.0,0.0,0.0,59.0,59.0,0,0,0,0
14,1,2021,0.0,0.0,0.0,0.0,6.0,6.0,0,0,0,0
15,1,2022,0.0,0.0,0.0,0.0,9.0,9.0,0,0,0,0
16,1,2023,13.0,4.0,0.0,0.0,86.0,103.0,1,1,0,0
893,2,2000,0.0,0.0,0.0,0.0,24.0,24.0,0,0,0,0
894,2,2001,0.0,0.0,0.0,0.0,47.0,47.0,0,0,0,0
895,2,2002,0.0,0.0,0.0,0.0,2465.0,2465.0,0,0,0,0
896,2,2003,0.0,0.0,0.0,0.0,28.0,28.0,0,0,0,0
897,2,2004,0.0,0.0,0.0,0.0,11.0,11.0,0,0,0,0
898,2,2005,0.0,0.0,0.0,0.0,3.0,3.0,0,0,0,0
899,2,2006,0.0,0.0,0.0,0.0,44.0,44.0,0,0,0,0
17,2,2007,0.0,0.0,3.0,0.0,44.0,47.0,0,0,1,0
18,2,2008,0.0,2.0,1.0,0.0,734.0,737.0,0,1,1,0
19,2,2009,0.0,0.0,0.0,0.0,43.0,43.0,0,0,0,0
20,2,2010,0.0,0.0,0.0,0.0,13.0,13.0,0,0,0,0
21,2,2011,2.0,0.0,0.0,0.0,291.0,293.0,1,0,0,0
22,2,2012,3.0,0.0,0.0,4.0,301.0,308.0,1,0,0,1
23,2,2013,0.0,0.0,0.0,5.0,220.0,225.0,0,0,0,1
24,2,2014,0.0,0.0,0.0,1.0,34.0,35.0,0,0,0,1
25,2,2015,0.0,0.0,0.0,0.0,7.0,7.0,0,0,0,0
26,2,2016,0.0,0.0,0.0,1.0,57.0,58.0,0,0,0,1
27,2,2017,0.0,2.0,0.0,6.0,165.0,173.0,0,1,0,1
28,2,2018,0.0,0.0,0.0,0.0,76.0,76.0,0,0,0,0
29,2,2019,0.0,0.0,0.0,0.0,126.0,126.0,0,0,0,0
30,2,2020,0.0,0.0,0.0,0.0,78.0,78.0,0,0,0,0
31,2,2021,0.0,0.0,0.0,0.0,6.0,6.0,0,0,0,0
32,2,2022,0.0,0.0,0.0,0.0,8.0,8.0,0,0,0,0
33,2,2023,13.0,1.0,0.0,0.0,65.0,79.0,1,1,0,0
900,3,2000,0.0,0.0,0.0,0.0,34.0,34.0,0,0,0,0
901,3,2001,0.0,0.0,0.0,0.0,68.0,68.0,0,0,0,0
902,3,2002,0.0,0.0,0.0,0.0,5913.0,5913.0,0,0,0,0
903,3,2003,0.0,0.0,0.0,0.0,34.0,34.0,0,0,0,0
904,3,2004,0.0,0.0,0.0,0.0,5.0,5.0,0,0,0,0
905,3,2005,0.0,0.0,0.0,0.0,2.0,2.0,0,0,0,0
906,3,2006,0.0,0.0,0.0,0.0,75.0,75.0,0,0,0,0
34,3,2007,0.0,0.0,5.0,0.0,61.0,66.0,0,0,1,0
35,3,2008,0.0,0.0,0.0,0.0,944.0,944.0,0,0,0,0
36,3,2009,0.0,0.0,0.0,0.0,33.0,33.0,0,0,0,0
37,3,2010,0.0,0.0,0.0,0.0,15.0,15.0,0,0,0,0
38,3,2011,2.0,0.0,0.0,0.0,288.0,290.0,1,0,0,0
39,3,2012,3.0,0.0,0.0,8.0,278.0,289.0,1,0,0,1
40,3,2013,1.0,0.0,0.0,0.0,222.0,223.0,1,0,0,0
41,3,2014,0.0,0.0,0.0,0.0,29.0,29.0,0,0,0,0
42,3,2015,0.0,0.0,0.0,0.0,15.0,15.0,0,0,0,0
43,3,2016,0.0,0.0,0.0,0.0,75.0,75.0,0,0,0,0
44,3,2017,0.0,0.0,0.0,4.0,159.0,163.0,0,0,0,1
45,3,2018,0.0,0.0,0.0,0.0,97.0,97.0,0,0,0,0
46,3,2019,0.0,0.0,0.0,0.0,152.0,152.0,0,0,0,0
47,3,2020,0.0,0.0,0.0,0.0,63.0,63.0,0,0,0,0
48,3,2021,0.0,0.0,0.0,0.0,6.0,6.0,0,0,0,0
49,3,2022,0.0,0.0,0.0,0.0,9.0,9.0,0,0,0,0
50,3,2023,22.0,1.0,0.0,0.0,92.0,115.0,1,1,0,0
907,4,2000,0.0,0.0,0.0,0.0,37.0,37.0,0,0,0,0
908,4,2001,0.0,0.0,0.0,0.0,194.0,194.0,0,0,0,0
909,4,2002,0.0,0.0,0.0,0.0,6848.0,6848.0,0,0,0,0
910,4,2003,0.0,0.0,0.0,0.0,33.0,33.0,0,0,0,0
911,4,2004,0.0,0.0,0.0,0.0,14.0,14.0,0,0,0,0
912,4,2005,0.0,0.0,0.0,0.0,3.0,3.0,0,0,0,0
913,4,2006,0.0,0.0,0.0,0.0,111.0,111.0,0,0,0,0
51,4,2007,0.0,0.0,0.0,0.0,91.0,91.0,0,0,0,0
52,4,2008,0.0,5.0,0.0,0.0,942.0,947.0,0,1,0,0
53,4,2009,0.0,0.0,0.0,0.0,42.0,42.0,0,0,0,0
54,4,2010,0.0,0.0,0.0,0.0,18.0,18.0,0,0,0,0
55,4,2011,9.0,0.0,0.0,0.0,504.0,513.0,1,0,0,0
56,4,2012,2.0,0.0,0.0,12.0,285.0,299.0,1,0,0,1
57,4,2013,0.0,0.0,0.0,5.0,262.0,267.0,0,0,0,1
58,4,2014,0.0,0.0,0.0,1.0,29.0,30.0,0,0,0,1
59,4,2015,0.0,0.0,0.0,0.0,17.0,17.0,0,0,0,0
60,4,2016,0.0,0.0,0.0,0.0,56.0,56.0,0,0,0,0
61,4,2017,0.0,1.0,0.0,7.0,185.0,193.0,0,1,0,1
62,4,2018,0.0,0.0,0.0,0.0,73.0,73.0,0,0,0,0
63,4,2019,0.0,0.0,0.0,0.0,143.0,143.0,0,0,0,0
64,4,2020,0.0,0.0,0.0,0.0,52.0,52.0,0,0,0,0
65,4,2021,0.0,0.0,0.0,0.0,19.0,19.0,0,0,0,0
66,4,2022,0.0,0.0,0.0,0.0,5.0,5.0,0,0,0,0
67,4,2023,24.0,10.0,0.0,0.0,99.0,133.0,1,1,0,0
914,5,2000,0.0,0.0,0.0,0.0,28.0,28.0,0,0,0,0
915,5,2001,0.0,0.0,0.0,0.0,315.0,315.0,0,0,0,0
916,5,2002,0.0,0.0,0.0,0.0,7269.0,7269.0,0,0,0,0
917,5,2003,0.0,0.0,0.0,0.0,30.0,30.0,0,0,0,0
918,5,2004,0.0,0.0,0.0,0.0,10.0,10.0,0,0,0,0
919,5,2005,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0
920,5,2006,0.0,0.0,0.0,0.0,123.0,123.0,0,0,0,0
